Prize Id,Ticket number
14,0103
58,2194
36,0527
55,0904
11,3388
41,0784
 7,1265
58,4117
56,0910
36,2453
31,0368
41,8786
48,6258
41,2753
43,5343
56,1129
41,3517

58,4767
58,0038
41,0414
36,5123
30,0409
58,2258
64,8879
16,1422
41,8905
 6,3788
 5,8369
39,7056
63,2757
24,8768
56,2280
 4,7608
23,8367
 6,6944

11,8165
45,3514
33,0952
57,6912
64,8421
 9,8170
27,7060
56,8042
64,6932
17,6102
35,2950
40,4981
58,5846
55,4702
15,8469
50,1939

59,0449
60,8537
 2,0571
24,0569
 3,0725
45,7856
64,0431
54,8769
64,0566
47,4012
58,1006
64,1743
 1,1813
38,6955
24,8113

39,7203
24,0877
59,2900
25,5326
32,6246
58,0775
58,2257
16,0563
10,1171
61,6639
41,0016
41,6923
49,8363
58,2922
20,3389
58,4527
39,6561
36,6603
64,1078

34,2629
41,4099
51,1719
12,0081
58,0261
58,5111
43,7407
55,9993
58,7447
41,8919
19,1807
43,2054
23,1183
58,4369
53,6042
41,0573

16,2144
59,7196
23,3515
26,8776
22,5803
41,1004
56,0908
24,6212
23,6938
41,0157
37,8168
33,2500
13,0412
21,4515
64,0375
58,3800
58,3512

44,7198
64,0870
46,0855
64,4274
 8,2073
62,7222
41,0726
28,1181
41,5182
42,8828
18,6550
64,0783
52,0709
36,7200
30,4003
 1,8746
59,0708
58,6254
64,1790
29,6430
